part,outlier_type,outlier_ratio,seed,rmse,msll,f1
C=25,asymmetric,0.4,0,0.2513028905604297,2.0367567352716107,0.8943089430894308
C=25,asymmetric,0.4,1,0.198889403078443,-0.2437257566780151,0.995
C=25,asymmetric,0.4,2,0.19567521025874204,-1.0875844631438716,1.0
C=25,asymmetric,0.4,3,0.2159504037675128,-1.03786082959436,0.9875930521091811
C=25,asymmetric,0.4,4,0.18776318159501437,-1.4237370604272779,0.9949748743718593
C=25,asymmetric,0.4,5,0.16670989307023362,-1.496577005195297,0.9924433249370278
C=25,asymmetric,0.4,6,0.1631916995695925,-1.6384927594493532,0.982716049382716
C=25,asymmetric,0.4,7,0.2095996338964926,-1.3388557848660374,0.9361702127659575
C=25,asymmetric,0.4,8,0.156682620661579,-1.6437205602916918,1.0
C=25,asymmetric,0.4,9,0.2610532601654426,-0.5492994380555107,0.984848484848485
C=25,focused,0.4,0,0.4122606147739651,10.42419656371739,0.9669211195928753
C=25,focused,0.4,1,0.22004827632094445,-0.6314147630065459,0.9583333333333334
C=25,focused,0.4,2,0.17325543273161542,-1.335781558300141,1.0
C=25,focused,0.4,3,0.18451714688267698,-1.2694615691213778,0.9583333333333334
C=25,focused,0.4,4,0.14586964878441352,-1.5640951886943615,1.0
C=25,focused,0.4,5,0.18292480967643038,-0.820512645202379,0.9975062344139651
C=25,focused,0.4,6,0.15184398868159604,-1.7447330459584993,1.0
C=25,focused,0.4,7,0.12159813223171773,-1.8874621423353837,0.9950248756218906
C=25,focused,0.4,8,0.284602542900398,-0.3743051632508774,0.5454545454545454
C=25,focused,0.4,9,0.8781905503408857,16.13539406318241,0.7917888563049854
C=25,uniform,0.4,0,0.1943623647475453,-0.8849152614606047,0.9974937343358395
C=25,uniform,0.4,1,1.1576645383923367,0.7895320926951538,0.5611510791366906
C=25,uniform,0.4,2,0.1490712943412154,-1.737751823138218,1.0
C=25,uniform,0.4,3,0.31441726263277475,-0.82384884610005,0.8338192419825073
C=25,uniform,0.4,4,0.20083049807025924,-1.1759045920438713,0.9949748743718593
C=25,uniform,0.4,5,0.16008265558479928,3.1391100055711476,0.977886977886978
C=25,uniform,0.4,6,0.16876629125735992,-0.7929922326391905,0.9975062344139651
C=25,uniform,0.4,7,0.1689884337808347,-1.3319773399159829,0.888888888888889
C=25,uniform,0.4,8,0.20409172898475558,-0.8011645126201056,0.9925558312655086
C=25,uniform,0.4,9,0.1842170263946868,-1.3633578683854595,0.995
C=50,asymmetric,0.4,0,0.12064608525172092,-1.755989904654332,0.9950248756218906
C=50,asymmetric,0.4,1,0.09505596021555379,-2.2509348081535374,1.0
C=50,asymmetric,0.4,2,0.1315789842196484,-1.6124784491683966,0.9950248756218906
C=50,asymmetric,0.4,3,0.10147983050620406,-2.0553634290643057,1.0
C=50,asymmetric,0.4,4,0.14535069134214748,-1.7077141353669303,1.0
C=50,asymmetric,0.4,5,0.10990816749977682,-1.8287359448933471,1.0
C=50,asymmetric,0.4,6,0.09845065494151663,-2.1922853416679158,0.9950248756218906
C=50,asymmetric,0.4,7,0.12199341105913107,-1.958430065734398,1.0
C=50,asymmetric,0.4,8,0.11252109499520663,-1.980930023538764,1.0
C=50,asymmetric,0.4,9,0.11593270014924009,-1.9949811508404307,1.0
C=50,focused,0.4,0,0.08984031040066903,-2.2825003189594124,1.0
C=50,focused,0.4,1,0.09792885816236521,-1.944514421034802,0.9975062344139651
C=50,focused,0.4,2,0.1696979865875248,-1.2633575098781193,1.0
C=50,focused,0.4,3,0.10516152342431802,-2.013457400116002,0.9949748743718593
C=50,focused,0.4,4,0.08655496673310398,-2.2050183225024744,1.0
C=50,focused,0.4,5,0.10064458095672821,-2.123442299306448,1.0
C=50,focused,0.4,6,0.09966774717902274,-2.280121006789499,1.0
C=50,focused,0.4,7,0.10598096924485774,-2.107678186540534,0.9105691056910568
C=50,focused,0.4,8,0.12005752166869647,-1.9356068979444978,1.0
C=50,focused,0.4,9,0.09976193253362432,-2.0964562650307745,1.0
C=50,uniform,0.4,0,0.09920694346614917,-2.095246922804713,0.9975062344139651
C=50,uniform,0.4,1,0.12638813190012319,-1.9013005718009421,1.0
C=50,uniform,0.4,2,0.10950788948503433,-2.08406198915483,1.0
C=50,uniform,0.4,3,0.13172661063286692,-1.7846053627879757,1.0
C=50,uniform,0.4,4,0.11636564712253865,-2.0982986706063644,0.9975062344139651
C=50,uniform,0.4,5,0.0987331260839968,-2.09824957394814,1.0
C=50,uniform,0.4,6,0.1000753863897246,-2.110975988499802,1.0
C=50,uniform,0.4,7,0.10441971020541857,-2.0348628714616845,1.0
C=50,uniform,0.4,8,0.1491620843183629,-1.5675815912756041,0.9975062344139651
C=50,uniform,0.4,9,0.11927030275623772,-1.983788555702973,1.0
C=100,asymmetric,0.4,0,0.062124976598388906,-2.6177148071009575,1.0
C=100,asymmetric,0.4,1,0.06726645285616333,-2.542812324069052,1.0
C=100,asymmetric,0.4,2,0.06598215001335477,-2.635189068146649,1.0
C=100,asymmetric,0.4,3,0.07973032516070686,-2.3592072474029044,0.9975062344139651
C=100,asymmetric,0.4,4,0.10056913972906747,-2.3267339277994044,1.0
C=100,asymmetric,0.4,5,0.07078002656386052,-2.5695311832195022,1.0
C=100,asymmetric,0.4,6,0.07297658988896662,-2.496937103196531,0.9950248756218906
C=100,asymmetric,0.4,7,0.06649781333308437,-2.5375998092524243,1.0
C=100,asymmetric,0.4,8,0.0704112380562278,-2.5462583169961626,1.0
C=100,asymmetric,0.4,9,0.06632466776283812,-2.5518106252590402,1.0
C=100,focused,0.4,0,0.07780924800771984,-2.530275825240319,1.0
C=100,focused,0.4,1,0.05916816388396596,-2.576493303649251,1.0
C=100,focused,0.4,2,0.09788053101768387,-1.9628800861035425,1.0
C=100,focused,0.4,3,0.10003459990412848,-2.0611928916504314,1.0
C=100,focused,0.4,4,0.07529003456736794,-2.3273809492622526,1.0
C=100,focused,0.4,5,0.07384009107544347,-2.439966088047673,1.0
C=100,focused,0.4,6,0.07876735883663252,-2.376041471117685,1.0
C=100,focused,0.4,7,0.07520702895492526,-2.4779188629766713,1.0
C=100,focused,0.4,8,0.05731979170848191,-2.6615893362723484,1.0
C=100,focused,0.4,9,0.06540464049472396,-2.5182317149757965,0.9975062344139651
C=100,uniform,0.4,0,0.07634872160989897,-2.3172118622613533,0.9975062344139651
C=100,uniform,0.4,1,0.0791749487674967,-2.498499425704936,1.0
C=100,uniform,0.4,2,0.09505959355379207,-2.249290469153939,1.0
C=100,uniform,0.4,3,0.0917759168472527,-2.3207015295899276,1.0
C=100,uniform,0.4,4,0.09355308543072567,-2.4373475700274443,1.0
C=100,uniform,0.4,5,0.07385242296185011,-2.4225050063010136,1.0
C=100,uniform,0.4,6,0.07667820807749666,-2.474816686207559,0.9975062344139651
C=100,uniform,0.4,7,0.07732123859077482,-2.3910275392241997,1.0
C=100,uniform,0.4,8,0.09423957305567651,-2.3595175154003645,1.0
C=100,uniform,0.4,9,0.08158700411757629,-2.3797562679213744,1.0
P=15,asymmetric,0.4,0,0.12064608525172092,-1.755989904654332,0.9950248756218906
P=15,asymmetric,0.4,1,0.09505596021555379,-2.2509348081535374,1.0
P=15,asymmetric,0.4,2,0.1315789842196484,-1.6124784491683966,0.9950248756218906
P=15,asymmetric,0.4,3,0.10147983050620406,-2.0553634290643057,1.0
P=15,asymmetric,0.4,4,0.14535069134214748,-1.7077141353669303,1.0
P=15,asymmetric,0.4,5,0.10990816749977682,-1.8287359448933471,1.0
P=15,asymmetric,0.4,6,0.09845065494151663,-2.1922853416679158,0.9950248756218906
P=15,asymmetric,0.4,7,0.12199341105913107,-1.958430065734398,1.0
P=15,asymmetric,0.4,8,0.11252109499520663,-1.980930023538764,1.0
P=15,asymmetric,0.4,9,0.11593270014924009,-1.9949811508404307,1.0
