xi,outlier_type,outlier_ratio,seed,rmse,msll,f1,precision,recall
free,asymmetric,0.1,0,0.10622035633056179,-2.002733771963038,0.9174311926605504,0.847457627118644,1.0
free,asymmetric,0.1,1,0.13842489085951848,-1.778013003976527,1.0,1.0,1.0
free,asymmetric,0.1,2,0.12515884845999345,-1.9317266834667135,1.0,1.0,1.0
free,asymmetric,0.1,3,0.09605187596136919,-2.165054176268518,0.9615384615384615,0.9259259259259259,1.0
free,asymmetric,0.1,4,0.11605361256216311,-2.1647661197063943,1.0,1.0,1.0
free,asymmetric,0.1,5,0.11856752614533415,-1.865452944036476,1.0,1.0,1.0
free,asymmetric,0.1,6,0.10299233785996653,-1.940259480036333,0.8695652173913044,0.7692307692307693,1.0
free,asymmetric,0.1,7,0.10999503823019087,-2.0885424940245043,0.9523809523809523,0.9090909090909091,1.0
free,asymmetric,0.1,8,0.10201846900697274,-2.1512378425840675,0.8547008547008548,0.746268656716418,1.0
free,asymmetric,0.1,9,0.11490542091065227,-1.9595380191343998,0.9615384615384615,0.9259259259259259,1.0
free,asymmetric,0.4,0,0.11628601629008715,-1.7287042823268928,0.9852216748768473,0.970873786407767,1.0
free,asymmetric,0.4,1,0.10414206589351012,-2.0652345319636405,0.9876543209876543,0.975609756097561,1.0
free,asymmetric,0.4,2,0.11885900056250953,-1.849923316575906,0.9852216748768473,0.970873786407767,1.0
free,asymmetric,0.4,3,0.10601772401297781,-1.736602056266431,0.9456264775413712,0.8968609865470852,1.0
free,asymmetric,0.4,4,0.1279588523427001,-1.9703167241398014,0.9876543209876543,0.975609756097561,1.0
free,asymmetric,0.4,5,0.09852235443371189,-2.1971435120590113,0.9975062344139651,0.9950248756218906,1.0
free,asymmetric,0.4,6,0.09027815339162536,-2.2918289000320073,0.9950248756218906,0.9900990099009901,1.0
free,asymmetric,0.4,7,0.10294087767087638,-2.057613869906118,0.9950248756218906,0.9900990099009901,1.0
free,asymmetric,0.4,8,0.11297043568968324,-1.7556182675899774,0.9852216748768473,0.970873786407767,1.0
free,asymmetric,0.4,9,0.11062806617570654,-2.059911993024917,1.0,1.0,1.0
free,asymmetric,0.8,0,0.10773715372806386,-2.0273832485968666,1.0,1.0,1.0
free,asymmetric,0.8,1,0.11214659575985358,-2.035909200582392,0.9987515605493134,0.9975062344139651,1.0
free,asymmetric,0.8,2,0.1504403903559265,-1.5995780233440435,0.9876543209876543,0.975609756097561,1.0
free,asymmetric,0.8,3,0.11220892001885152,-2.0013486858703566,0.9975062344139651,0.9950248756218906,1.0
free,asymmetric,0.8,4,0.1511142650971393,-1.5807952114344113,0.9987515605493134,0.9975062344139651,1.0
free,asymmetric,0.8,5,0.111109015737032,-2.060272991967461,0.9987515605493134,0.9975062344139651,1.0
free,asymmetric,0.8,6,0.08897126218508836,-2.1568082960637076,0.9962640099626401,0.9925558312655087,1.0
free,asymmetric,0.8,7,0.09742167435303005,-2.1557113325807236,0.9962640099626401,0.9925558312655087,1.0
free,asymmetric,0.8,8,0.10182847896339345,-2.130209049947809,1.0,1.0,1.0
free,asymmetric,0.8,9,0.08647003581051019,-2.2552834207437,0.9950248756218906,0.9900990099009901,1.0
free,focused,0.1,0,0.10725466202073866,-2.0139638352994993,0.8771929824561403,0.78125,1.0
free,focused,0.1,1,0.11386089078130719,-1.9711528758363432,0.9523809523809523,0.9090909090909091,1.0
free,focused,0.1,2,0.10245944954245384,-2.0939242607201076,0.9174311926605504,0.847457627118644,1.0
free,focused,0.1,3,0.11124812750707497,-1.8441213671991468,0.9009009009009009,0.819672131147541,1.0
free,focused,0.1,4,0.10894842118167922,-2.1305972191775524,0.970873786407767,0.9433962264150944,1.0
free,focused,0.1,5,0.10683990295070633,-1.9334070973393143,0.9433962264150945,0.8928571428571429,1.0
free,focused,0.1,6,0.10206119039783161,-2.0662637483389146,0.9009009009009009,0.819672131147541,1.0
free,focused,0.1,7,0.11292504154432992,-1.9734085404008113,0.9523809523809523,0.9090909090909091,1.0
free,focused,0.1,8,0.12031034821205662,-1.2402792868014259,0.7575757575757575,0.6097560975609756,1.0
free,focused,0.1,9,0.10462869780218809,-1.947104574109246,0.8928571428571428,0.8064516129032258,1.0
free,focused,0.4,0,0.09503380726107978,-2.250606464099542,0.9925558312655086,0.9852216748768473,1.0
free,focused,0.4,1,0.10416840119188835,-1.9631910122556915,0.9803921568627451,0.9615384615384616,1.0
free,focused,0.4,2,0.09515375530457788,-2.0190945212797358,0.9950248756218906,0.9900990099009901,1.0
free,focused,0.4,3,0.13032458810640177,-1.378526859203251,0.99009900990099,0.9803921568627451,1.0
free,focused,0.4,4,0.11807743171954867,-1.4543069663742576,0.9876543209876543,0.975609756097561,1.0
free,focused,0.4,5,0.10990876061810312,-1.9536740399744388,0.9685230024213075,0.9389671361502347,1.0
free,focused,0.4,6,0.10068686227714234,-2.234378667046429,0.9950248756218906,0.9900990099009901,1.0
free,focused,0.4,7,0.10088517522622839,-2.162143768595458,0.9803921568627451,0.9615384615384616,1.0
free,focused,0.4,8,0.10020201403596671,-2.055893922176814,0.9876543209876543,0.975609756097561,1.0
free,focused,0.4,9,0.10127650410605984,-2.06527548520207,1.0,1.0,1.0
free,focused,0.8,0,0.09652580453649505,-2.3595860002568423,0.9987515605493134,0.9975062344139651,1.0
free,focused,0.8,1,0.09952851572261825,-1.8450709837998323,1.0,1.0,1.0
free,focused,0.8,2,1.2584656371410883,197.80279860246273,0.833574529667149,0.9896907216494846,0.72
free,focused,0.8,3,0.07058121126961792,-2.3804203595359303,1.0,1.0,1.0
free,focused,0.8,4,0.07255279636755703,-2.253465934918217,1.0,1.0,1.0
free,focused,0.8,5,0.04733012337648684,-2.740039829814673,0.9962640099626401,0.9925558312655087,1.0
free,focused,0.8,6,0.0909755276472725,-2.3181595181996815,0.9925558312655086,0.9852216748768473,1.0
free,focused,0.8,7,0.09541128680376477,-1.7203015753173188,0.9888751545117428,0.9779951100244498,1.0
free,focused,0.8,8,0.13769955857203164,-1.4972507080525586,0.9962640099626401,0.9925558312655087,1.0
free,focused,0.8,9,0.0579711854064556,-2.345495612394944,1.0,1.0,1.0
free,uniform,0.1,0,0.1096298911563275,-2.0686361609027255,0.9433962264150945,0.8928571428571429,1.0
free,uniform,0.1,1,0.11949872303985012,-1.8894434254971078,0.9009009009009009,0.819672131147541,1.0
free,uniform,0.1,2,0.1045705932182082,-2.1358451651461747,0.8849557522123894,0.7936507936507936,1.0
free,uniform,0.1,3,0.10825953229966766,-2.0060784292408376,0.9523809523809523,0.9090909090909091,1.0
free,uniform,0.1,4,0.14082271183988143,-1.6859875317734834,0.9523809523809523,0.9090909090909091,1.0
free,uniform,0.1,5,0.11516772090413464,-2.0757345861197534,0.9174311926605504,0.847457627118644,1.0
free,uniform,0.1,6,0.13080341201386939,-1.6340753384795526,0.3050847457627119,1.0,0.18
free,uniform,0.1,7,0.11053109867047622,-2.028208658257471,0.9009009009009009,0.819672131147541,1.0
free,uniform,0.1,8,0.12475453892465298,-1.7740186148282413,1.0,1.0,1.0
free,uniform,0.1,9,0.1275378430013375,-1.8025507457121932,0.9803921568627451,0.9615384615384616,1.0
free,uniform,0.4,0,0.09855076293864855,-2.0077959123810905,0.9685230024213075,0.9389671361502347,1.0
free,uniform,0.4,1,0.12147442708011769,-1.9483371583496152,0.9828009828009828,0.966183574879227,1.0
free,uniform,0.4,2,0.11646249779241409,-1.9979689615310634,0.9925558312655086,0.9852216748768473,1.0
free,uniform,0.4,3,0.13063408286638314,-1.6965668923472303,0.9828009828009828,0.966183574879227,1.0
free,uniform,0.4,4,0.12316221812569873,-1.97573654648392,1.0,1.0,1.0
free,uniform,0.4,5,0.10574479448835881,-1.7184159443568856,0.9925558312655086,0.9852216748768473,1.0
free,uniform,0.4,6,0.12002883182873986,-1.912981518196015,1.0,1.0,1.0
free,uniform,0.4,7,0.10240178337327795,-2.1101987200889365,0.9925558312655086,0.9852216748768473,1.0
free,uniform,0.4,8,0.13445193200664418,-1.8651919818440974,0.9828009828009828,0.966183574879227,1.0
free,uniform,0.4,9,0.10766634909925454,-2.10366512801449,1.0,1.0,1.0
free,uniform,0.8,0,0.0830304385019254,-2.377524877929188,0.9962640099626401,0.9925558312655087,1.0
free,uniform,0.8,1,0.1421625183721395,-1.7977334271682188,0.9975062344139651,0.9950248756218906,1.0
free,uniform,0.8,2,0.08650433830821205,-2.6228785390827483,0.9925558312655086,0.9852216748768473,1.0
free,uniform,0.8,3,0.09279298908176958,-2.2446513293046726,0.9987515605493134,0.9975062344139651,1.0
free,uniform,0.8,4,0.13432198422952568,-1.7357061160104874,0.9962640099626401,0.9925558312655087,1.0
