data_seed,n_scores,mean_E_raw,ks_raw_exp1,p_raw_exp1,n_excess,beta_hat,ks_excess,p_excess,cv_excess,qq_corr_excess,rmse,f1
0,463,1.6410335395580464,0.14818072373045932,0.0,47,1.4503454257861284,0.08375034390067054,0.7465,0.9320609720983323,0.97464895438818,0.11409667036691339,0.0
1,473,1.7262139899011617,0.15671355277841614,0.0,48,1.563683500087303,0.11412997249109547,0.31,1.2765857816460087,0.9567267814455465,0.12275700612781017,0.0
2,474,1.999424925974605,0.17193730738835866,0.0,48,2.176714123554285,0.12261031514156684,0.2095,0.9940813898657116,0.969065148260001,0.11718637756396541,0.0
3,462,1.619128551939501,0.16452057683063037,0.0,47,1.5888689533724718,0.0973660021635081,0.525,0.8835643344739651,0.9840268261218409,0.09886229165724396,0.0
4,462,1.4835848767253452,0.1283615249355915,0.0,47,1.2133484223801845,0.13563305471237908,0.1265,0.9031723191312174,0.987919537890841,0.10826637850038562,0.0
5,463,1.3177201965509338,0.08760703408404558,0.001,47,1.3584414609339748,0.10257344338509167,0.459,1.0386318375797665,0.9801672237259861,0.11246676413084783,0.0
6,461,1.4506180714881503,0.1339344014649947,0.0,46,0.9698998022158748,0.07841822154234057,0.8435,0.9203805227075336,0.9850989214246029,0.11085916947070007,0.0
7,464,1.357111627119963,0.08963166887820184,0.0015,47,1.2513803546765243,0.07833142143125171,0.82,0.9486066282343456,0.9679763574060755,0.1138070217766002,0.0
8,464,1.5394425503421327,0.12327119908703998,0.0,47,1.1350160260789586,0.08703330581734903,0.704,1.0095465043809668,0.9822308423999663,0.10863976382607722,0.0
9,466,1.3776857904694926,0.09322797539824201,0.0005,47,1.1201567369496157,0.07355358064411344,0.8765,0.9147555841139332,0.9670088701273682,0.11593522900842765,0.0
