method,dataset,protocol,outlier_type,outlier_ratio,seed,data_seed,rmse,msll,avg_step_ms
gpmoe,neal,fixed-stream,asymmetric,0.1,0,409,0.5205307630882127,-0.3603737491695188,115.36134663714518
gpmoe,neal,fixed-stream,asymmetric,0.1,1,409,0.5003818403065042,-0.33639416789989035,104.15829946370964
gpmoe,neal,fixed-stream,asymmetric,0.1,2,409,0.5229582444485656,-0.34588823882553593,94.13142515232559
gpmoe,neal,fixed-stream,asymmetric,0.1,3,409,0.5329543064987763,-0.29359022209028246,117.11198859008212
gpmoe,neal,fixed-stream,asymmetric,0.1,4,409,0.507174264733461,-0.4235717269312599,91.18023398927205
gpmoe,neal,fixed-stream,asymmetric,0.1,5,409,0.5313858446940009,-0.36159061827857564,101.03271107778666
gpmoe,neal,fixed-stream,asymmetric,0.1,6,409,0.5153483978783603,-0.36191641780740463,103.12922783606575
gpmoe,neal,fixed-stream,asymmetric,0.1,7,409,0.5078956866919494,-0.40674919561437617,100.99683289919123
gpmoe,neal,fixed-stream,asymmetric,0.1,8,409,0.5296804280462722,-0.3717562588604426,98.13567903009476
gpmoe,neal,fixed-stream,asymmetric,0.1,9,409,0.499619445964279,-0.37844425305112794,97.32465271512326
gpmoe,neal,fixed-stream,asymmetric,0.4,0,409,0.6177512208176759,-0.24590634780748205,103.141467505856
gpmoe,neal,fixed-stream,asymmetric,0.4,1,409,0.6007257461046137,-0.26431576149804276,97.93851191046384
gpmoe,neal,fixed-stream,asymmetric,0.4,2,409,0.6716789792399666,-0.15043401606761672,106.12119787455703
gpmoe,neal,fixed-stream,asymmetric,0.4,3,409,0.6566507448925347,-0.20174046103352888,100.0749255156794
gpmoe,neal,fixed-stream,asymmetric,0.4,4,409,0.6150569478782131,-0.23768331076973465,98.97901844965828
gpmoe,neal,fixed-stream,asymmetric,0.4,5,409,0.631092853713507,-0.23574072948127833,101.98989685217501
gpmoe,neal,fixed-stream,asymmetric,0.4,6,409,0.5847415688729279,-0.26168507790036877,106.35141828046078
gpmoe,neal,fixed-stream,asymmetric,0.4,7,409,0.62806615855661,-0.2213575819755945,105.49816803471045
gpmoe,neal,fixed-stream,asymmetric,0.4,8,409,0.6969399434473367,-0.1478798638402255,114.17122344922214
gpmoe,neal,fixed-stream,asymmetric,0.4,9,409,0.5981583819681925,-0.2684607609014502,99.01630705190293
