row_type,agent,tau_k,name,rmse,nll,msll,avg_step_ms,avg_pred_ms,avg_detect_ms,avg_upd_ms,route_main,route_critic,alarms,tp,fp,fn,tn,precision,recall,f1,time,t,y_obs,y_true_gt,mu,var,sigma,lab_curr,route,pred_alarm,gt_anomaly,w_evt,rolled_m,rolled_c
summary,1,1,agent1:Franka_labeled/franka1_labeled.csv::tau_1 (gt:tau_residual_1),0.11264128861372655,1.4268494876752207,0.7559919571343712,0.4359832979982649,0.14518242457486585,0.053321935871740396,0.18429717223979014,1375.0,580.0,351.0,250.0,101.0,212.0,1743.0,0.7122507122507122,0.5411255411255411,0.6150061500615006,,,,,,,,,,,,,,
summary,2,2,agent2:Franka_labeled/franka2_labeled.csv::tau_2 (gt:tau_residual_2),0.1338227193329386,2.527352536575384,1.9211957615452826,0.426107136144344,0.14737262028586104,0.05399915870825913,0.17071353016762064,1255.0,602.0,449.0,303.0,146.0,159.0,1698.0,0.6748329621380846,0.6558441558441559,0.6652030735455543,,,,,,,,,,,,,,
summary,3,3,agent3:Franka_labeled/franka3_labeled.csv::tau_3 (gt:tau_residual_3),0.08151869424633779,-0.42123042853090087,-0.9069972161482696,0.39929158751673494,0.14022557787413015,0.05353367810197343,0.1591750013883123,1155.0,537.0,614.0,419.0,195.0,43.0,1649.0,0.6824104234527687,0.9069264069264069,0.7788104089219332,,,,,,,,,,,,,,
summary,4,4,agent4:Franka_labeled/franka4_labeled.csv::tau_4 (gt:tau_residual_4),0.09782726473079315,0.0191224927065672,-0.7824874263313973,0.3887925188027642,0.13693410392118827,0.052173722717920694,0.15707185260906287,1185.0,460.0,661.0,452.0,209.0,10.0,1635.0,0.6838124054462935,0.9783549783549783,0.8049866429207481,,,,,,,,,,,,,,
summary,5,5,agent5:Franka_labeled/franka5_labeled.csv::tau_5 (gt:tau_residual_5),0.0962125058181685,0.4777528629064414,0.09997460901237926,0.491295133031588,0.14666930910891304,0.05230560040255687,0.2358698205140331,1499.0,601.0,206.0,189.0,17.0,273.0,1827.0,0.9174757281553398,0.4090909090909091,0.565868263473054,,,,,,,,,,,,,,
summary,6,6,agent6:Franka_labeled/franka6_labeled.csv::tau_6 (gt:tau_residual_6),0.08154819835996233,-0.5841370427086172,-0.6331076323051368,0.5009161314819208,0.14928669478107773,0.05332047371347237,0.2425914015756243,1499.0,595.0,212.0,189.0,23.0,273.0,1821.0,0.8915094339622641,0.4090909090909091,0.5608308605341247,,,,,,,,,,,,,,
summary,7,7,agent7:Franka_labeled/franka7_labeled.csv::tau_7 (gt:tau_residual_7),0.0050306764092824755,-2.250462703076956,0.5411787249823885,0.4588153823054697,0.15616966044455152,0.05121193391029422,0.1879806072418461,1323.0,690.0,293.0,193.0,100.0,269.0,1744.0,0.658703071672355,0.41774891774891776,0.5112582781456954,,,,,,,,,,,,,,
detail,1,1,,,,,,,,,,,,,,,,,,,1100.0,1100.0,-0.582485917,-0.439601218,-0.4415727632865863,0.00048760553353122127,0.02208179190036944,uncertain,critic,0.0,0.0,0.0,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1101.0,1101.0,-0.609129396,-0.442991782,-0.4453680821388478,0.0004432554066629013,0.021053631673963076,uncertain,critic,0.0,0.0,0.5533445585220068,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1102.0,1102.0,-0.526389501,-0.444659736,-0.44746298959170916,0.0004133629657623317,0.020331329660460768,clean,main,0.0,0.0,0.6197995835043091,1.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1103.0,1103.0,-0.566500519,-0.447096552,-0.46398679898987827,0.001277654723631949,0.03574429637903017,uncertain,critic,0.0,0.0,0.33899187949628307,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1104.0,1104.0,-0.403634118,-0.446227303,-0.4720114584338122,0.0012444870336508762,0.035277287787624435,clean,main,0.0,0.0,0.40845867163823946,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1105.0,1105.0,-0.465976925,-0.446622296,-0.4621613066557815,0.0014141842617595435,0.03760564135551398,clean,main,0.0,0.0,0.28682090896872237,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1106.0,1106.0,-0.480417703,-0.447298204,-0.46704462591349977,0.0011874553436439506,0.03445947393161931,clean,main,0.0,0.0,0.017183274558787542,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1107.0,1107.0,-0.551816662,-0.449388573,-0.47175421936316186,0.0011221191927297536,0.03349804759578912,clean,main,0.0,0.0,0.060674460593599155,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1108.0,1108.0,-0.623059003,-0.452861982,-0.47173483570802244,0.0010277543727291727,0.03205860840287945,uncertain,critic,0.0,0.0,0.34223895194566434,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1109.0,1109.0,-0.687142494,-0.457547592,-0.46811920038807786,0.001052321081409624,0.03243949878480899,attack,alarm,1.0,0.0,0.5525569458370378,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1110.0,1110.0,-0.710793474,-0.46261251,-0.4673593121499071,0.0011290592398155441,0.03360147675051715,attack,alarm,1.0,0.0,0.7199913923933182,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1111.0,1111.0,-0.716766855,-0.467695597,-0.4665695813505579,0.0011686568078655979,0.03418562282401182,attack,alarm,1.0,0.0,0.767285645867297,0.0,0.0
