dataset,stream,q,precision,recall,f1,n_detected,n_events,events_hit,warmup
nab,occupancy_t4013.csv,0.01,85.0,100.0,91.89189189189189,20,2,2,188
nab,speed_6005.csv,0.01,25.64102564102564,100.0,40.81632653061224,39,1,1,140
nab,ec2_cpu_utilization_825cc2.csv,0.01,22.68760907504363,100.0,36.98435277382646,573,1,1,287
nab,ec2_network_in_257a54.csv,0.01,75.0,100.0,85.71428571428571,8,1,1,287
nab,ec2_request_latency_system_failure.csv,0.01,11.945392491467576,100.0,21.341463414634145,293,3,3,288
nab,exchange-3_cpc_results.csv,0.01,82.6086956521739,100.0,90.47619047619047,23,3,3,24
yahoo,Yahoo_A1real_16_data.csv,0.01,9.375,100.0,17.142857142857142,32,1,1,100
yahoo,Yahoo_A1real_53_data.csv,0.01,36.17021276595745,100.0,53.125,47,4,4,100
nab,occupancy_t4013.csv,0.001,100.0,100.0,100.0,13,2,2,188
nab,speed_6005.csv,0.001,37.5,100.0,54.54545454545454,8,1,1,140
nab,ec2_cpu_utilization_825cc2.csv,0.001,55.60975609756098,100.0,71.47335423197492,205,1,1,287
nab,ec2_network_in_257a54.csv,0.001,85.71428571428571,100.0,92.3076923076923,7,1,1,287
nab,ec2_request_latency_system_failure.csv,0.001,22.47191011235955,100.0,36.69724770642201,89,3,3,288
nab,exchange-3_cpc_results.csv,0.001,0.0,0.0,0.0,0,3,0,24
yahoo,Yahoo_A1real_16_data.csv,0.001,100.0,100.0,100.0,3,1,1,100
yahoo,Yahoo_A1real_53_data.csv,0.001,94.44444444444444,100.0,97.14285714285714,18,4,4,100
nab,occupancy_t4013.csv,0.0001,100.0,100.0,100.0,6,2,2,188
nab,speed_6005.csv,0.0001,42.857142857142854,100.0,60.0,7,1,1,140
nab,ec2_cpu_utilization_825cc2.csv,0.0001,64.32748538011695,100.0,78.29181494661921,171,1,1,287
nab,ec2_network_in_257a54.csv,0.0001,100.0,100.0,100.0,6,1,1,287
nab,ec2_request_latency_system_failure.csv,0.0001,64.28571428571429,100.0,78.26086956521739,28,3,3,288
nab,exchange-3_cpc_results.csv,0.0001,0.0,0.0,0.0,0,3,0,24
yahoo,Yahoo_A1real_16_data.csv,0.0001,100.0,100.0,100.0,3,1,1,100
yahoo,Yahoo_A1real_53_data.csv,0.0001,94.11764705882352,75.0,83.47826086956522,17,4,3,100
