,,,,,,rmse,rmse,rmse,msll,msll,msll,f1,f1,f1,precision,precision,precision,recall,recall,recall,avg_step_ms,avg_step_ms,avg_step_ms
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,dataset,protocol,outlier_type,outlier_ratio,stream,,,,,,,,,,,,,,,,,,
guardgp,neal,fixed-stream,asymmetric,0.1,,0.1062469988410721,0.0,3,-2.10774815030142,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.46105146949243575,0.0029707023707332752,3
guardgp,neal,fixed-stream,asymmetric,0.4,,0.10352552420951171,0.0,3,-2.120133913121076,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.359717604494991,0.0016989930808617869,3
guardgp,neal,fixed-stream,asymmetric,0.8,,0.0864699689986237,0.0,3,-2.243889573159804,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.086861428407365,0.0006582985323467681,3
guardgp,neal,fixed-stream,focused,0.1,,0.1084881957402095,0.0,3,-1.8912539925816152,0.0,3,0.9803921568627452,0.0,3,0.9615384615384616,0.0,3,1.0,0.0,3,0.46308980164357694,0.0011289967826293784,3
guardgp,neal,fixed-stream,focused,0.4,,0.1123271135053477,0.0,3,-1.770198369531111,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.42317802195295534,0.14197704384561396,3
guardgp,neal,fixed-stream,focused,0.8,,0.0798713063349448,0.0,3,-1.9539243769476309,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.09706228801919874,0.005753435503508642,3
guardgp,neal,fixed-stream,uniform,0.1,,0.0999066860927695,0.0,3,-2.1139708250749703,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.5019463881752386,0.027063594035331554,3
guardgp,neal,fixed-stream,uniform,0.4,,0.0952799937098003,0.0,3,-2.1768806441213333,0.0,3,0.9950248756218906,0.0,3,0.99009900990099,0.0,3,1.0,0.0,3,0.4051295630853164,0.020775601197556445,3
