series,family,split,method,config,seed,warmup,n,sliding_window,n_anom_eval,elapsed_s,AUC_PR,AUC_ROC,PointF1_opt,VUS_PR,VUS_ROC,precision,recall,F1,tp,fp,fn
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,NAB,tuning,spot,q0.0001_d200,0,500,15852,21,1523,0.9,0.0936085230640181,0.4462199559985257,0.1948176698713782,0.0903444921525346,0.385692676782937,0.0785066666666666,0.4832567301378857,0.1350706551660855,736.0,8639.0,787.0
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,NAB,tuning,spot,q0.0001_d200,0,500,4031,50,402,0.1,0.2206475463461701,0.7824659063264694,0.4515730742753978,0.2241743168686791,0.7879839394902669,1.0,0.0099502487562189,0.0197044334975369,4.0,0.0,398.0
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,NAB,tuning,spot,q0.0001_d200,0,500,2499,5,248,0.0,0.2366996913570343,0.6152221771890717,0.2576921407026614,0.236237129943912,0.620635181558973,1.0,0.0403225806451612,0.0775193798449612,10.0,0.0,238.0
012_NAB_id_12_Synthetic_tr_1007_1st_2787.csv,NAB,tuning,spot,q0.0001_d200,0,500,4031,288,513,0.2,0.0952364109258967,0.2273054331580368,0.2537069835821982,0.1168612223777589,0.3205606522976066,0.0,0.0,0.0,0.0,1.0,513.0
021_NAB_id_21_WebService_tr_500_1st_565.csv,NAB,tuning,spot,q0.0001_d200,0,500,1623,24,160,0.1,0.1532436508605444,0.4970404984423675,0.254167757503054,0.1619560487356429,0.5424837369547488,0.4,0.025,0.0470588235294117,4.0,6.0,156.0
560_YAHOO_id_10_Synthetic_tr_500_1st_893.csv,YAHOO,tuning,spot,q0.0001_d200,0,500,1421,158,1,0.1,0.0011111111111111,0.0228260869565217,0.0022197336541588,0.0404373133696641,0.817232439579322,0.0,0.0,0.0,0.0,3.0,1.0
568_YAHOO_id_18_WebService_tr_500_1st_333.csv,YAHOO,tuning,spot,q0.0001_d200,0,500,1680,24,1,0.1,0.015625,0.9465648854961832,0.0307689278136338,0.0284655639616799,0.9590606265352428,0.0,0.0,0.0,0.0,0.0,1.0
573_YAHOO_id_23_Synthetic_tr_500_1st_623.csv,YAHOO,tuning,spot,q0.0001_d200,0,500,1421,35,9,0.0,1.0,1.0,0.999995000025,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0
583_YAHOO_id_33_WebService_tr_500_1st_1616.csv,YAHOO,tuning,spot,q0.0001_d200,0,500,1680,24,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
643_YAHOO_id_93_WebService_tr_500_1st_1038.csv,YAHOO,tuning,spot,q0.0001_d200,0,500,1680,24,1,0.0,0.0058479532163742,0.8558100084817641,0.0116277913748648,0.0058479532163742,0.8575063613231549,0.0,0.0,0.0,0.0,0.0,1.0
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,NAB,eva,spot,q0.01_d50,0,500,4031,6,343,0.1,0.1536124505830172,0.527762637587747,0.1815663789190433,0.1494586070419382,0.5325966408576928,0.1304347826086956,0.0962099125364431,0.110738255033557,33.0,220.0,310.0
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,NAB,eva,spot,q0.01_d50,0,500,6000,5,637,0.0,0.1682504146779775,0.5085262406580817,0.2083037555105077,0.1625425038560096,0.5096958410087825,0.575,0.0361067503924646,0.0679468242245199,23.0,17.0,614.0
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,NAB,tuning,spot,q0.01_d50,0,500,15852,21,1523,0.1,0.1046402938031371,0.4417495146491237,0.1870504638579358,0.1030495329812745,0.4479964435286944,0.1044615384615384,0.891661195009849,0.1870137024030847,1358.0,11642.0,165.0
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,NAB,tuning,spot,q0.01_d50,0,500,4031,50,402,0.0,0.1846217304648318,0.593958141539029,0.2298068899176882,0.1873621866953924,0.6116668162348289,0.2060301507537688,0.1019900497512437,0.1364392678868552,41.0,158.0,361.0
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,NAB,eva,spot,q0.01_d50,0,500,2379,22,238,0.0,0.1430524016186231,0.4944374459107226,0.2281857640178773,0.144681542443004,0.5051041404852679,0.25,0.0504201680672268,0.0839160839160839,12.0,36.0,226.0
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,NAB,eva,spot,q0.01_d50,0,500,10319,125,1030,0.1,0.1101562883265669,0.524059918234068,0.2003337591424232,0.1300731770238505,0.5973676380722404,0.0777537796976241,0.0699029126213592,0.0736196319018404,72.0,854.0,958.0
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,NAB,tuning,spot,q0.01_d50,0,500,2499,5,248,0.0,0.2881811180863461,0.5906578729205431,0.2863692398790413,0.2845570469168321,0.5947963405701845,0.8064516129032258,0.1008064516129032,0.1792114695340501,25.0,6.0,223.0
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,NAB,eva,spot,q0.01_d50,0,500,4031,71,402,0.0,0.2103896739525733,0.5627777539277088,0.3732081024342543,0.2314131675917711,0.5907175160846401,0.1151862464183381,1.0,0.2065775950668036,402.0,3088.0,0.0
009_NAB_id_9_Traffic_tr_500_1st_438.csv,NAB,eva,spot,q0.01_d50,0,500,2161,128,154,0.0,0.4201171266313168,0.7709024552090247,0.4462103973456776,0.4892014827307207,0.8350261372720726,0.0,0.0,0.0,0.0,0.0,154.0
010_NAB_id_10_WebService_tr_500_1st_271.csv,NAB,eva,spot,q0.01_d50,0,500,1000,142,48,0.0,0.5126483553893328,0.736910029498525,0.5277733333707598,0.5411091944813085,0.812230200070359,1.0,0.0416666666666666,0.0799999999999999,2.0,0.0,46.0
