method,config,family,n_series,VUS_PR,VUS_ROC,AUC_PR,AUC_ROC,PointF1_opt,precision,recall,F1
guardgp,default,NAB,23,0.209,0.555,0.189,0.511,0.253,0.351,0.076,0.088
guardgp,default,YAHOO,30,0.692,0.944,0.722,0.932,0.754,0.665,0.698,0.636
guardgp,default,ALL,53,0.483,0.775,0.491,0.749,0.536,0.529,0.428,0.398
sand,tsbad_default,NAB,10,0.144,0.524,0.145,0.522,0.241,,,
sand,tsbad_default,YAHOO,2,0.001,0.112,0.001,0.002,0.002,,,
sand,tsbad_default,ALL,12,0.12,0.455,0.121,0.436,0.201,,,
rrcf,sh4_ts256,NAB,23,0.183,0.565,0.164,0.522,0.243,,,
rrcf,sh4_ts256,YAHOO,30,0.638,0.964,0.361,0.951,0.467,,,
rrcf,sh4_ts256,ALL,53,0.441,0.791,0.276,0.765,0.37,,,
spot,q0.001_d200,NAB,23,0.227,0.587,0.209,0.546,0.294,0.362,0.128,0.114
spot,q0.001_d200,YAHOO,30,0.635,0.953,0.672,0.879,0.705,0.28,0.64,0.312
spot,q0.001_d200,ALL,53,0.458,0.794,0.471,0.734,0.527,0.316,0.418,0.226
olad,w200_lr0,NAB,23,0.188,0.55,0.171,0.505,0.261,0.429,0.031,0.053
olad,w200_lr0,YAHOO,30,0.726,0.97,0.754,0.96,0.792,0.467,0.551,0.46
olad,w200_lr0,ALL,53,0.493,0.787,0.501,0.763,0.561,0.45,0.325,0.283
