seed,warmup,outlier_type,rmse,msll,f1,precision,recall,part,warmup_contam
0,20,asymmetric,0.11510263679563243,-1.9474826622426344,1.0,1.0,1.0,length,0.0
1,20,asymmetric,0.1324185980047656,-1.6415660890835502,0.9975062344139651,0.9950248756218906,1.0,length,0.0
2,20,asymmetric,0.10559787834585678,-2.188405208623289,1.0,1.0,1.0,length,0.0
3,20,asymmetric,0.1250633193813557,-1.835886939578985,1.0,1.0,1.0,length,0.0
4,20,asymmetric,0.1282973445700267,-1.7562623352712605,1.0,1.0,1.0,length,0.0
5,20,asymmetric,0.10875388271378479,-2.1550555759895595,1.0,1.0,1.0,length,0.0
6,20,asymmetric,0.09480189592027727,-2.244689168833857,1.0,1.0,1.0,length,0.0
7,20,asymmetric,0.09870341471689947,-2.1533484862147887,1.0,1.0,1.0,length,0.0
8,20,asymmetric,0.09277280217607865,-2.2358029235425865,1.0,1.0,1.0,length,0.0
9,20,asymmetric,0.13266452429531475,-1.8193861533037887,1.0,1.0,1.0,length,0.0
0,20,focused,0.110126817838739,-2.1155117686785836,1.0,1.0,1.0,length,0.0
1,20,focused,0.0919571941689769,-2.1097225690001875,1.0,1.0,1.0,length,0.0
2,20,focused,0.10807724292499282,-1.9052658048614186,0.9975062344139651,0.9950248756218906,1.0,length,0.0
3,20,focused,0.09616233703231566,-1.9021454276222223,0.9950248756218906,0.9900990099009901,1.0,length,0.0
4,20,focused,0.11131140735757326,-1.935459992447,0.9975062344139651,0.9950248756218906,1.0,length,0.0
5,20,focused,0.12761938700281417,-1.2322098325424307,0.9975062344139651,0.9950248756218906,1.0,length,0.0
6,20,focused,0.12864889736723484,-1.815897451640779,1.0,1.0,1.0,length,0.0
7,20,focused,0.1006316986373527,-2.0667417492403124,0.9975062344139651,0.9950248756218906,1.0,length,0.0
8,20,focused,0.09630524000052564,-2.0766153849865656,1.0,1.0,1.0,length,0.0
9,20,focused,0.10194233744548042,-1.9520815522268913,1.0,1.0,1.0,length,0.0
0,20,uniform,0.12954520769171024,-1.6785271005097007,0.9950248756218906,0.9900990099009901,1.0,length,0.0
1,20,uniform,0.11912904057934808,-2.049128350710576,1.0,1.0,1.0,length,0.0
2,20,uniform,0.12428009668015695,-1.6134453226499448,1.0,1.0,1.0,length,0.0
3,20,uniform,0.09525863887811396,-2.1656811093185895,1.0,1.0,1.0,length,0.0
4,20,uniform,0.1266349118168797,-1.9978997147359827,0.9975062344139651,0.9950248756218906,1.0,length,0.0
5,20,uniform,0.08939526675505449,-2.3262496072146877,1.0,1.0,1.0,length,0.0
6,20,uniform,0.10534911233438068,-2.0434098782821093,0.9975062344139651,0.9950248756218906,1.0,length,0.0
7,20,uniform,0.09687881153020592,-2.2161688302347398,1.0,1.0,1.0,length,0.0
8,20,uniform,0.11994072608427582,-2.159673620716258,0.9975062344139651,0.9950248756218906,1.0,length,0.0
9,20,uniform,0.10860656032331165,-2.0792923827277776,1.0,1.0,1.0,length,0.0
0,40,asymmetric,0.12064608525172092,-1.755989904654332,0.9950248756218906,0.9900990099009901,1.0,length,0.0
1,40,asymmetric,0.09505596021555379,-2.2509348081535374,1.0,1.0,1.0,length,0.0
